Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.18594594594594593,0.9398907103825137,0.3104693140794224,183.0
Epithelial_non_malignant,0.0,0.0,0.0,0.0
Fibroblasts,0.7934626436781609,0.9083059210526315,0.8470092024539877,2432.0
Lymphoid,0.8043956043956044,0.6372605919907138,0.711139896373057,1723.0
Malignant,0.3926302414231258,0.07490909090909091,0.125814332247557,4125.0
Myeloid,0.31802120141342755,0.7219251336898396,0.44153720359771054,748.0
Other_non_neoplastic,0.015590200445434299,0.010385756676557863,0.012466607301869992,674.0
