Cell_Type_L3,precision,recall,f1_score,support
Endothelial,0.13726768829475058,0.13726768829475058,0.13726768829475058,3067.0
Epithelial_non_malignant,0.09801189149015235,0.3503819329126536,0.1531760435571688,3011.0
Fibroblasts,0.30319563522992987,0.16422741345341965,0.21305340027384756,7106.0
Lymphoid,0.018410417602155366,0.018410417602155366,0.018410417602155366,2227.0
Malignant,0.0,0.0,0.0,7945.0
Myeloid,0.16883529038400508,0.16883529038400508,0.16883529038400508,3151.0
Other_non_neoplastic,0.04228804902962206,0.14315352697095435,0.06528938653209274,1446.0
