Cell_Type_L3,precision,recall,f1_score,support
Epithelial_non_malignant,0.0,0.0,0.0,0.0
Lymphoid,1.0,1.0,1.0,37124.0
Malignant,1.0,1.0,1.0,1160.0
Myeloid,1.0,1.0,1.0,9113.0
Other_non_neoplastic,0.0,0.0,0.0,30939.0
