Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.0005557099194220616,0.00030959752321981426,0.00039765384233025154,6460.0
Epithelial_non_malignant,0.0,0.0,0.0,313.0
Fibroblasts,0.9822931785195936,0.8884221580467314,0.9330024813895782,3809.0
Lymphoid,0.0013944223107569722,0.0002065079505560964,0.00035973995940077603,33897.0
Malignant,0.008732309545317675,0.002543859649122807,0.003939949731675837,11400.0
Myeloid,0.0033722438391699094,0.0021992894603282014,0.002662297767765718,5911.0
Other_non_neoplastic,0.016940856560163153,0.6846153846153846,0.03306355313785326,910.0
