Cell_Type_L3,precision,recall,f1_score,support
Fibroblasts,0.0,0.0,0.0,2032.0
Lymphoid,0.04903596588802373,1.0,0.09348767341168154,529.0
Malignant,0.0,0.0,0.0,1909.0
Myeloid,0.0,0.0,0.0,6114.0
Other_non_neoplastic,0.0,0.0,0.0,204.0
