Cell_Type_L3,precision,recall,f1_score,support
Endothelial,0.42429229756418696,0.9677177177177178,0.5899313501144164,1332.0
Epithelial_non_malignant,0.0,0.0,0.0,8664.0
Fibroblasts,0.9787878787878788,0.5062695924764891,0.6673553719008265,1276.0
Lymphoid,0.0,0.0,0.0,2713.0
Malignant,0.0,0.0,0.0,4658.0
Myeloid,0.0,0.0,0.0,3100.0
Non neoplastic,0.0,0.0,0.0,0.0
