Cell_Type_L3,precision,recall,f1_score,support
Endothelial,1.0,1.0,1.0,3278.0
Epithelial_non_malignant,0.1571250519318654,1.0,0.27157834266839004,3782.0
Fibroblasts,0.0,0.0,0.0,2030.0
Lymphoid,1.0,1.0,1.0,3803.0
Malignant,0.0,0.0,0.0,14291.0
Myeloid,1.0,1.0,1.0,3243.0
Other_non_neoplastic,0.0,0.0,0.0,5997.0
