True_Label,Endothelial,Epithelial_non_malignant,Fibroblasts,Lymphoid,Malignant,Myeloid,Non neoplastic,Other/unknown
Endothelial,830,0,5,0,0,0,268,0
Epithelial_non_malignant,20,0,23,1,0,0,1127,0
Fibroblasts,98,0,7069,0,0,0,885,0
Lymphoid,22,0,65,635,0,0,14148,0
Malignant,1,0,3,0,0,0,5927,0
Myeloid,14,0,98,21,0,0,8067,0
Non neoplastic,0,0,0,0,0,0,0,0
Other/unknown,5,0,6,1,0,0,1692,0
