Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.24377224199288255,0.13922764227642276,0.17723156532988357,984.0
Epithelial_non_malignant,0.10028985507246377,0.2629179331306991,0.14519513218631977,658.0
Fibroblasts,0.19086651053864168,0.12173263629574309,0.1486548107615139,1339.0
Lymphoid,0.9777694046721929,0.8069657156184404,0.8841943864730184,25726.0
Malignant,0.10040160642570281,0.0079923273657289,0.014806040864672786,3128.0
Myeloid,0.7470516086423248,0.9132641291810842,0.8218381856868545,8670.0
Other_non_neoplastic,0.0,0.0,0.0,0.0
