Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
pancreas,Raghavan2021_Pancreas,Y,0.6762248074717352,0.677950774553747,0.6652642648607878,0.358,91666,148.28,00:02:28
pancreas,Steele2020_Pancreas,Y,0.6199505867819641,0.6116267817517477,0.56648001492188,0.4436,114017,199.57,00:03:19
prostate,Chen2021_Prostate,Y,0.3872721282670766,0.4673683346669128,0.3116381861402331,0.3372,86652,159.15,00:02:39
prostate,Dong2020_Prostate,Y,0.177390569227879,0.4558990305469179,0.1490182242499452,0.2512,64850,111.72,00:01:51
prostate,He2021_Prostate,Y,0.5152073732718894,0.3262798634812286,0.4837828911152703,0.3238,82859,162.38,00:02:42
prostate,Song2022_Prostate,Y,0.9712551165892472,0.8108088071762177,0.980966024269787,0.3543,90663,161.34,00:02:41
scarcoma,Jerby-Arnon2021_Sarcoma,Y,1.0,1.0,1.0,0.352,89480,93.82,00:01:33
skin,Biermann2022_Skin,Y,0.3278602352288407,0.7068490442322692,0.3176348014725954,0.4972,126883,196.09,00:03:16
skin,Jerby-Arnon2018_Skin,Y,0.6764542165321459,0.4869254060005505,0.6677287296482617,0.3229,82576,97.37,00:01:37
skin,Ji2020_Skin,Y,0.7572045511170169,0.6807063890882986,0.664342002346255,0.4983,127969,146.34,00:02:26
skin,Li2019_Skin,Y,0.5902394812091504,0.2741421743109936,0.5170328861887309,0.3899,102908,122.39,00:02:02
skin,Paulson2020_Skin,Y,0.279449260581336,0.3758055344958302,0.1953757506594668,0.297,76279,126.63,00:02:06
skin,Tirosh2016_Skin,Y,0.6114101184068891,0.5578231292517006,0.5580398790301911,0.3132,80350,150.56,00:02:30
skin,Yost2019_Skin,Y,0.9524707132555728,0.5714285714285714,0.9524707132555728,0.3553,91947,161.73,00:02:41
temp,predictions,N,,,,,,,
