Tissue Type,Dataset,Success,Accuracy,Macro F1,Weighted F1,Cost,Tokens,Time (seconds),Time (formatted)
ovarian,Izar2020_Ovarian,Y,0.7956062291434928,0.4642388407857512,0.7887162651921708,0.0031845,1614,8.592764,00:00:08
ovarian,Nath2021_Ovarian,Y,0.8772076972848618,0.5816432694845572,0.8283586479345803,0.003432,1737,8.737805,00:00:08
ovarian,Olalekan2021_Ovarian,Y,0.9730905412240768,0.95980641052524,0.9739360279022174,0.0028919,1408,7.05256,00:00:07
ovarian,Olbrecht2021_Ovarian,Y,0.7065945388974755,0.629203881600403,0.684521121379699,0.0037554,1944,9.201362,00:00:09
ovarian,Qian2020_Ovarian,Y,0.9160521503156156,0.816866856441945,0.8782252014541523,0.0038973,1902,8.589274,00:00:08
ovarian,Regner2021_Ovarian,Y,0.5594529043350117,0.7142857142857143,0.5594529043350117,0.0041877,2118,8.28163,00:00:08
ovarian,Shih2018_Ovarian,Y,0.3049575994781474,0.4433158956062327,0.2786006248420098,0.0021626,1075,4.056875,00:00:04
ovarian,Tang-Huau2018_Ovarian,Y,0.4821513564969062,0.3253050738599871,0.6506101477199743,0.0014091,762,3.930648,00:00:03
ovarian,Zhang2022_Ovarian,Y,0.7854246321399606,0.6384607857527277,0.7669279010574794,0.0031724,1594,8.10922,00:00:08
pancreas,Lin2020_Pancreas,Y,1.0,1.0,1.0,0.0037147,1781,11.576838,00:00:11
pancreas,Moncada2020_Pancreas,Y,0.7698824815523367,0.5334166417199245,0.6975351626979734,0.002376,1170,6.244981,00:00:06
pancreas,Peng2019_Pancreas,Y,0.5406575322863377,0.5524143263666821,0.5053092817965172,0.0046717,2339,11.940538,00:00:11
pancreas,Raghavan2021_Pancreas,Y,0.6762248074717352,0.677950774553747,0.6652642648607878,0.0044,2128,7.95888,00:00:07
pancreas,Steele2020_Pancreas,Y,0.6199505867819641,0.6116267817517477,0.56648001492188,0.0049808,2458,10.122754,00:00:10
prostate,Chen2021_Prostate,Y,0.5519163189106084,0.6001924909736444,0.4601875315589885,0.0030536,1489,9.768819,00:00:09
prostate,Dong2020_Prostate,Y,0.7033627653578809,0.7313010559872485,0.6856969216769625,0.0035156,1720,6.730408,00:00:06
prostate,He2021_Prostate,Y,0.5152073732718894,0.3262798634812286,0.4837828911152703,0.002277,1161,4.143943,00:00:04
prostate,Song2022_Prostate,Y,0.757025249505588,0.6376856508819524,0.6823148177695526,0.0025091,1228,6.383185,00:00:06
scarcoma,Jerby-Arnon2021_Sarcoma,Y,0.9851782945736434,0.6666666666666666,0.9851782945736434,0.0036652,1886,8.298023,00:00:08
skin,Biermann2022_Skin,Y,0.3278602352288407,0.7068490442322692,0.3176348014725954,0.0053141,2692,10.159837,00:00:10
skin,Jerby-Arnon2018_Skin,Y,0.9572780406345672,0.7347463070006423,0.948552553750683,0.0036421,1772,7.133336,00:00:07
skin,Ji2020_Skin,Y,0.7406776845776929,0.6749259022896196,0.6521954885390385,0.0041646,1926,8.616758,00:00:08
skin,Li2019_Skin,Y,0.6050474877450981,0.6,0.6050474877450981,0.0029689,1586,4.717635,00:00:04
skin,Paulson2020_Skin,Y,0.665859255481897,0.6,0.665859255481897,0.0025355,1372,5.746208,00:00:05
skin,Tirosh2016_Skin,Y,0.6114101184068891,0.5504664970313825,0.5935485638063309,0.0031394,1546,7.651855,00:00:07
skin,Yost2019_Skin,Y,0.9524707132555728,0.5714285714285714,0.9524707132555728,0.0032747,1516,9.26531,00:00:09
