Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.031746031746031744,1.0,0.06153846153846154,2.0
Epithelial_non_malignant,0.44,0.275,0.3384615384615385,160.0
Fibroblasts,0.34615384615384615,1.0,0.5142857142857142,9.0
Lymphoid,0.30952380952380953,0.41935483870967744,0.3561643835616438,31.0
Malignant,0.6609442060085837,0.6062992125984252,0.6324435318275154,254.0
Myeloid,0.11538461538461539,0.46153846153846156,0.18461538461538463,13.0
Other_non_neoplastic,0.8,0.06611570247933884,0.12213740458015267,121.0
