Cell_Type_L3,precision,recall,f1_score,support
Endothelial,0.9661538461538461,0.98125,0.9736434108527132,640.0
Epithelial_non_malignant,0.0,0.0,0.0,907.0
Fibroblasts,0.9854304635761589,0.7654320987654321,0.861609727851766,972.0
Lymphoid,0.961890243902439,0.12623787136140843,0.22318507383499867,9997.0
Malignant,0.0,0.0,0.0,5425.0
Myeloid,0.9343971631205674,0.06525507677067856,0.12199074074074075,8076.0
Non neoplastic,0.0,0.0,0.0,0.0
Other/unknown,0.0,0.0,0.0,1242.0
Other_non_neoplastic,0.0,0.0,0.0,3.0
