True_Label,Endothelial,Fibroblasts,Lymphoid,Malignant,Myeloid,Non neoplastic,Other/unknown
Endothelial,548,60,3,0,0,218,0
Fibroblasts,41,2667,34,0,0,1048,0
Lymphoid,48,404,990,0,9,4048,0
Malignant,0,0,0,0,0,2778,0
Myeloid,3,3,35,0,220,2049,0
Non neoplastic,0,0,0,0,0,0,0
Other/unknown,173,725,89,0,0,3530,0
