True_Label,Endothelial,Fibroblasts,Lymphoid,Malignant,Myeloid
Endothelial,0,12464,0,0,0
Fibroblasts,0,0,0,37439,0
Lymphoid,0,0,71623,13995,0
Malignant,0,65885,0,0,0
Myeloid,0,24084,0,1145,0
