Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.11672683513838748,0.34767025089605735,0.17477477477477477,279.0
Epithelial_non_malignant,0.2830508474576271,0.5114854517611026,0.36442989634478995,653.0
Fibroblasts,0.21123677489967166,0.7310606060606061,0.32776677045004243,792.0
Lymphoid,0.0,0.0,0.0,0.0
Malignant,0.5131292615697084,0.6290012804097311,0.5651875169779965,28116.0
Myeloid,0.08086253369272237,0.28662420382165604,0.12613875262789068,314.0
Other_non_neoplastic,0.644640234948605,0.4058356203957822,0.4980942081656532,34615.0
