True_Label,Benign,Endothelial,Epithelial_non_malignant,Fibroblasts,Lymphoid,Malignant,Myeloid,Other_non_neoplastic
Benign,0,0,0,0,0,0,0,0
Endothelial,4,97,11,53,3,40,10,61
Epithelial_non_malignant,7,17,334,85,1,3,33,173
Fibroblasts,4,7,36,579,5,31,12,118
Lymphoid,0,0,0,0,0,0,0,0
Malignant,993,375,440,654,254,17685,435,7280
Myeloid,2,6,1,19,20,64,90,112
Other_non_neoplastic,835,329,358,1351,519,16642,533,14048
