Cell_Type_L3,precision,recall,f1_score,support
Lymphoid,1.0,0.9366228558699042,0.9672744004141025,8978.0
Malignant,0.0,0.0,0.0,18854.0
Myeloid,1.0,1.0,1.0,2246.0
Other_non_neoplastic,0.480126334948208,1.0,0.6487639921155898,17938.0
