Cell_Type_L3,precision,recall,f1_score,support
Endothelial,1.0,1.0,1.0,7605.0
Epithelial_non_malignant,0.15098460685064485,1.0,0.26235729991867224,4355.0
Fibroblasts,1.0,0.5479326442147382,0.7079541170768485,11996.0
Lymphoid,0.9777384088207184,1.0,0.9887439152316632,41944.0
Malignant,0.0,0.0,0.0,24489.0
Myeloid,1.0,0.9012919896640826,0.9480837184017396,9675.0
Other_non_neoplastic,0.0,0.0,0.0,0.0
