Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.05413262099308611,0.055279204107830555,0.054699904731660844,12464.0
Epithelial_non_malignant,0.0,0.0,0.0,0.0
Fibroblasts,0.1918395937308467,0.05852186222922621,0.08968481375358166,37439.0
Lymphoid,0.4006034582801439,0.08063724917657501,0.13425115700229456,85618.0
Malignant,0.2972289742343218,0.04639902861045762,0.08026782197715636,65885.0
Myeloid,0.10604998832048587,0.0719806571802291,0.08575543645078271,25229.0
Other_non_neoplastic,0.0,0.0,0.0,0.0
