Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.9087078651685393,0.467485549132948,0.6173664122137404,4152.0
Epithelial_non_malignant,0.9798319327731092,0.4647887323943662,0.6304974765681327,3763.0
Fibroblasts,0.0,0.0,0.0,630.0
Lymphoid,0.8057705840957072,0.5889917695473251,0.6805349182763745,1944.0
Malignant,0.5816470286885246,0.7960560911481157,0.6721675423666099,11410.0
Myeloid,0.9861318540644335,0.9625156184922948,0.9741806302033934,4802.0
Other_non_neoplastic,0.0,0.0,0.0,2773.0
