Tissue,Dataset,Status,Accuracy,Macro F1,Weighted F1,Original GT Cells,Original Pred Cells,Matched Cells,Coverage %,Results Directory
prostate,He2021,success,0.5152,0.3263,0.4838,-,-,-,100.0,prostate_He2021
prostate,Song2022,success,0.7570,0.6377,0.6823,-,-,-,100.0,prostate_Song2022
scarcoma,Jerby-Arnon2021,success,1.0000,1.0000,1.0000,-,-,-,100.0,scarcoma_Jerby-Arnon2021
skin,Biermann2022,success,0.3279,0.7068,0.3176,-,-,-,100.0,skin_Biermann2022
skin,Jerby-Arnon2018,success,0.9573,0.7347,0.9486,-,-,-,100.0,skin_Jerby-Arnon2018
skin,Ji2020,success,0.7407,0.6749,0.6522,-,-,-,100.0,skin_Ji2020
skin,Li2019,success,0.5902,0.2741,0.5170,-,-,-,100.0,skin_Li2019
skin,Paulson2020,success,0.2794,0.3758,0.1954,-,-,-,100.0,skin_Paulson2020
skin,Tirosh2016,success,0.6114,0.5505,0.5935,-,-,-,100.0,skin_Tirosh2016
skin,Yost2019,success,0.9525,0.5714,0.9525,-,-,-,100.0,skin_Yost2019
