True_Label,Endothelial,Epithelial_non_malignant,Fibroblasts,Lymphoid,Malignant,Myeloid,Non neoplastic,Other/unknown
Endothelial,3047,0,1,0,0,0,19,0
Epithelial_non_malignant,0,0,10,0,0,0,3001,0
Fibroblasts,0,0,3425,0,0,0,3681,0
Lymphoid,3,0,3,605,0,0,1616,0
Malignant,0,0,0,0,0,0,7945,0
Myeloid,0,0,0,0,0,0,3151,0
Non neoplastic,0,0,0,0,0,0,0,0
Other/unknown,169,0,103,96,0,0,1078,0
