Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,1.0,1.0,1.0,616.0
Epithelial_non_malignant,0.0,0.0,0.0,0.0
Fibroblasts,1.0,1.0,1.0,4904.0
Lymphoid,0.0,0.0,0.0,733.0
Malignant,1.0,1.0,1.0,6490.0
Myeloid,0.0,0.0,0.0,2785.0
Other_non_neoplastic,0.0,0.0,0.0,1423.0
