Cell_Type_L3,precision,recall,f1_score,support
Endothelial,0.0,0.0,0.0,3067.0
Epithelial_non_malignant,0.06073752711496746,0.07439388907339754,0.06687565308254964,3011.0
Fibroblasts,0.014636892475136049,0.010976639459611595,0.012545235223160435,7106.0
Lymphoid,0.0012658227848101266,0.000898069151324652,0.0010506960861570791,2227.0
Malignant,0.2753111647780048,0.18653241032095658,0.2223889555822329,7945.0
Myeloid,0.8665254237288136,0.38940019041574103,0.5373330413838406,3151.0
Other_non_neoplastic,0.03741593255659752,0.27316735822959887,0.06581687911355494,1446.0
