Cell_Type_L3,precision,recall,f1_score,support
Benign,0.0,0.0,0.0,0.0
Endothelial,0.8670284938941656,0.9523099850968704,0.9076704545454546,671.0
Epithelial_non_malignant,0.022482893450635387,0.019878997407087293,0.02110091743119266,1157.0
Fibroblasts,0.755638512988023,0.7945698397121361,0.7746153232878896,6114.0
Lymphoid,0.6846153846153846,0.8111979166666666,0.7425506555423123,768.0
Malignant,0.8931810547531072,0.6609495401441711,0.7597142857142857,4023.0
Myeloid,0.9848413074372335,0.9264705882352942,0.9547646383467279,2244.0
Other_non_neoplastic,0.015590200445434299,0.025408348457350273,0.01932367149758454,551.0
