True_Label,Endothelial,Fibroblasts,Lymphoid,Malignant,Myeloid,Non neoplastic,Other_non_neoplastic
Endothelial,3114,7,0,0,0,23,0
Fibroblasts,17,1062,0,0,0,2390,0
Lymphoid,6,93,0,0,4,4532,0
Malignant,79,17538,0,0,21,19811,0
Myeloid,1,32,0,0,2509,5672,0
Non neoplastic,0,0,0,0,0,0,0
Other_non_neoplastic,17,51,0,0,2,1862,0
